x,y,U,V,W,urms,vrms,wrms,uv,uw,vw
0,0.41221,1.69,-5.2392e-19,0.0018417,0.21295,0.14183,0.15934,-0.01299,0.0030486,3.652e-06
0,0.41788,1.6997,-1.1051e-19,0.001948,0.21172,0.14139,0.15867,-0.012843,0.0032434,3.2052e-06
0,0.42357,1.7092,-2.3463e-19,0.0020379,0.21054,0.14094,0.158,-0.012728,0.0034136,1.9488e-06
0,0.42929,1.7189,-2.6303e-19,0.0021053,0.20928,0.14047,0.15733,-0.01258,0.0035485,2.5545e-07
0,0.43503,1.7283,-3.9867e-20,0.0021465,0.20808,0.13999,0.15666,-0.012463,0.0036378,-1.3656e-06
0,0.44081,1.738,8.066e-19,0.0021601,0.20682,0.13948,0.15598,-0.012315,0.0036768,-2.5392e-06
0,0.44661,1.7474,-1.2615e-19,0.0021404,0.20563,0.13896,0.15529,-0.012196,0.0036542,-3.5383e-06
0,0.45244,1.7572,-2.0374e-19,0.0020882,0.20438,0.13842,0.15456,-0.012046,0.0035749,-4.3429e-06
0,0.45829,1.7665,1.2536e-20,0.0020027,0.20319,0.13786,0.1538,-0.011925,0.0034382,-5.0405e-06
0,0.46417,1.7763,8.8091e-21,0.0018911,0.20194,0.13728,0.15298,-0.011774,0.0032561,-5.5259e-06
0,0.47008,1.7856,-3.7891e-19,0.0017624,0.20076,0.13668,0.15211,-0.011652,0.0030412,-5.8718e-06
0,0.47601,1.7953,-3.2718e-19,0.0016248,0.19952,0.13606,0.15121,-0.011502,0.0028111,-5.9616e-06
0,0.48197,1.8045,2.4575e-19,0.001484,0.19836,0.13542,0.15028,-0.011379,0.0025777,-6.3423e-06
0,0.48796,1.8141,-5.2731e-19,0.0013427,0.19715,0.13476,0.14932,-0.011228,0.0023475,-7.292e-06
0,0.49397,1.8233,1.8691e-19,0.0012028,0.19603,0.13408,0.14837,-0.011103,0.0021196,-8.3366e-06
0,0.5,1.8328,-3.8444e-19,0.0010683,0.19485,0.1334,0.14741,-0.010951,0.0018981,-8.5448e-06
0,0.50606,1.8418,-3.4661e-19,0.00093776,0.19373,0.13271,0.14643,-0.010825,0.0016769,-8.0002e-06
0,0.51214,1.8512,9.2801e-19,0.00080656,0.19253,0.13203,0.14544,-0.010673,0.0014492,-7.5173e-06
0,0.51825,1.8601,1.4117e-19,0.00067136,0.19137,0.13134,0.14445,-0.010546,0.0012088,-7.4613e-06
0,0.52438,1.8693,1.3428e-19,0.00053547,0.19013,0.13064,0.14347,-0.010391,0.00096138,-7.3841e-06
0,0.53053,1.8781,1.4942e-19,0.00039937,0.18894,0.12994,0.14251,-0.010261,0.00070686,-7.5065e-06
0,0.5367,1.8873,-2.2384e-19,0.00026454,0.18767,0.12923,0.14154,-0.010106,0.00045087,-7.859e-06
0,0.5429,1.896,4.3345e-19,0.00013533,0.18643,0.12851,0.14055,-0.0099753,0.00020308,-8.1242e-06
0,0.54912,1.9051,1.2965e-19,2.1418e-05,0.18512,0.12779,0.13955,-0.0098203,-1.639e-05,-8.0365e-06
0,0.55536,1.9138,-1.8635e-19,-6.9038e-05,0.18386,0.12707,0.13853,-0.0096876,-0.00019243,-7.6056e-06
0,0.56163,1.9229,4.9241e-20,-0.0001228,0.18253,0.12634,0.13751,-0.0095317,-0.00030055,-6.6781e-06
0,0.56791,1.9315,2.9861e-19,-0.00013602,0.18124,0.12561,0.1365,-0.0093975,-0.00033263,-5.4699e-06
0,0.57422,1.9404,2.4993e-19,-0.00011644,0.17987,0.12487,0.13546,-0.0092418,-0.00030086,-4.2974e-06
0,0.58055,1.9489,4.0917e-19,-8.0439e-05,0.17851,0.12413,0.13442,-0.0091068,-0.00023565,-3.6926e-06
0,0.5869,1.9578,7.507e-19,-4.1912e-05,0.17709,0.12339,0.13335,-0.008951,-0.0001628,-3.6813e-06
0,0.59326,1.9661,2.1244e-19,-1.3799e-05,0.17571,0.12264,0.13226,-0.0088149,-0.00010673,-4.2364e-06
0,0.59965,1.9748,5.2471e-19,-3.3928e-06,0.1743,0.12188,0.13113,-0.008659,-8.1742e-05,-5.1824e-06
0,0.60606,1.9831,-4.1335e-20,-1.6164e-05,0.17295,0.12112,0.12998,-0.0085221,-9.9752e-05,-6.2169e-06
0,0.61248,1.9916,1.9888e-19,-4.8749e-05,0.17156,0.12034,0.12882,-0.0083661,-0.00015567,-6.9529e-06
0,0.61893,1.9996,4.2679e-19,-9.8204e-05,0.17023,0.11955,0.12766,-0.0082278,-0.00024518,-7.3109e-06
0,0.62539,2.008,9.8623e-20,-0.0001598,0.16886,0.11875,0.1265,-0.0080711,-0.00036008,-7.5072e-06
0,0.63188,2.0158,-1.342e-19,-0.00022921,0.16754,0.11794,0.12535,-0.0079316,-0.00049335,-7.4861e-06
0,0.63838,2.024,-1.7008e-19,-0.00029516,0.16617,0.11713,0.12419,-0.0077749,-0.00062298,-7.3849e-06
0,0.64489,2.0317,4.5429e-19,-0.00035346,0.16482,0.11632,0.12303,-0.0076344,-0.00074013,-7.5323e-06
0,0.65143,2.0397,-1.2666e-19,-0.00039909,0.16341,0.11551,0.12187,-0.0074768,-0.00083517,-7.7786e-06
0,0.65798,2.0472,-2.2904e-19,-0.00043564,0.162,0.11469,0.12072,-0.007334,-0.00091499,-7.9415e-06
0,0.66455,2.0551,-3.4051e-20,-0.00046505,0.16055,0.11386,0.11956,-0.0071759,-0.00098341,-8.081e-06
0,0.67113,2.0624,-9.5602e-20,-0.0004879,0.15912,0.11301,0.11838,-0.0070327,-0.0010404,-8.1973e-06
0,0.67773,2.0701,2.2e-19,-0.00049501,0.15766,0.11216,0.11718,-0.006875,-0.0010671,-8.2368e-06
0,0.68435,2.0773,-5.6864e-20,-0.00048149,0.15624,0.11129,0.11597,-0.0067306,-0.0010524,-8.2419e-06
0,0.69098,2.0848,-4.4447e-19,-0.00044319,0.15482,0.11042,0.11476,-0.0065723,-0.0009858,-8.2866e-06
0,0.69763,2.0918,-3.0696e-19,-0.00038207,0.15345,0.10954,0.11354,-0.0064267,-0.00086761,-8.1202e-06
0,0.70429,2.0991,-2.7362e-19,-0.00029389,0.15207,0.10865,0.11229,-0.0062681,-0.00068764,-7.6102e-06
0,0.71097,2.1058,1.6032e-19,-0.00018041,0.15074,0.10776,0.11101,-0.0061217,-0.0004493,-6.9781e-06
0,0.71766,2.1129,-3.2947e-19,-4.5115e-05,0.14938,0.10687,0.10973,-0.0059635,-0.00016095,-6.9742e-06
0,0.72436,2.1194,-9.004e-20,0.00010505,0.14803,0.10599,0.10844,-0.0058161,0.00016132,-7.4776e-06
0,0.73108,2.1263,-1.9298e-19,0.00026822,0.14662,0.10513,0.10715,-0.0056568,0.00051174,-8.1498e-06
0,0.73781,2.1326,-7.9621e-21,0.00043967,0.14522,0.10427,0.10583,-0.0055072,0.00087824,-8.3352e-06
0,0.74455,2.1392,-2.366e-20,0.00061203,0.14378,0.10343,0.10451,-0.0053474,0.0012458,-8.3441e-06
0,0.75131,2.1453,2.5129e-19,0.00077048,0.14237,0.1026,0.10318,-0.0051975,0.0015841,-8.5592e-06
0,0.75808,2.1518,4.3537e-20,0.00090762,0.14096,0.10178,0.10184,-0.005038,0.0018793,-9.3111e-06
0,0.76486,2.1577,1.6991e-19,0.0010194,0.13957,0.10096,0.10049,-0.0048871,0.0021228,-1.0272e-05
0,0.77165,2.1639,1.039e-19,0.0011058,0.13818,0.10016,0.099151,-0.0047274,0.0023152,-1.1344e-05
0,0.77845,2.1695,9.227e-20,0.001165,0.1368,0.099364,0.097817,-0.004576,0.0024497,-1.2339e-05
0,0.78526,2.1755,-2.1232e-19,0.0011965,0.1354,0.098581,0.096486,-0.0044162,0.0025243,-1.3246e-05
0,0.79209,2.1809,1.8149e-19,0.0011944,0.13401,0.097813,0.095167,-0.0042637,0.0025247,-1.373e-05
0,0.79892,2.1867,-3.0866e-19,0.0011593,0.1326,0.097065,0.093857,-0.0041036,0.002453,-1.3981e-05
0,0.80577,2.1918,1.2705e-19,0.0010922,0.13118,0.096341,0.092562,-0.0039503,0.0023095,-1.4341e-05
0,0.81262,2.1973,-1.4682e-21,0.0010022,0.12974,0.095643,0.091283,-0.0037903,0.0021135,-1.4863e-05
0,0.81948,2.2022,2.0097e-19,0.00089948,0.12831,0.094969,0.090037,-0.003637,0.0018844,-1.4995e-05
0,0.82635,2.2074,1.2892e-19,0.00079595,0.12686,0.09432,0.08883,-0.0034779,0.0016493,-1.4529e-05
0,0.83323,2.212,-1.4343e-20,0.00069581,0.12539,0.093697,0.087678,-0.0033244,0.0014184,-1.3661e-05
0,0.84012,2.2169,-9.0237e-20,0.00060324,0.1239,0.0931,0.086572,-0.0031649,0.0012022,-1.2905e-05
0,0.84701,2.2211,2.1436e-19,0.00051588,0.1224,0.092528,0.085514,-0.0030104,0.00099508,-1.2454e-05
0,0.85392,2.2257,3.3147e-20,0.00043362,0.1209,0.091981,0.084499,-0.0028512,0.00079811,-1.2016e-05
0,0.86083,2.2296,-1.807e-21,0.00035519,0.11941,0.091457,0.083525,-0.0026971,0.00060851,-1.1289e-05
0,0.86774,2.2339,-9.8764e-20,0.00028337,0.11795,0.090958,0.08257,-0.0025383,0.00043376,-1.0329e-05
0,0.87467,2.2374,1.1514e-19,0.00021826,0.11652,0.090485,0.081635,-0.0023836,0.00027468,-9.4534e-06
0,0.8816,2.2413,2.038e-19,0.00016131,0.11513,0.09004,0.080714,-0.0022249,0.00013532,-8.796e-06
0,0.88853,2.2445,-3.1566e-20,0.00011208,0.11378,0.089624,0.079806,-0.0020699,1.5252e-05,-8.0811e-06
0,0.89547,2.248,-6.5673e-20,7.3707e-05,0.11249,0.08924,0.078913,-0.0019114,-7.8666e-05,-7.1639e-06
