x,dist
0.50643,0.035237
0.50976,0.039656
0.5131,0.044299
0.51643,0.048561
0.51976,0.052046
0.52309,0.054355
0.52642,0.05547
0.52975,0.055562
0.53309,0.05485
0.53642,0.053768
0.53975,0.052656
0.54308,0.051792
0.54641,0.051288
0.54975,0.051105
0.55308,0.051099
0.55641,0.05103
0.55974,0.050717
0.56307,0.05002
0.5664,0.048965
0.56974,0.047687
0.57307,0.046429
0.5764,0.04548
0.57973,0.045045
0.58306,0.04533
0.58639,0.046278
0.58973,0.047716
0.59306,0.049384
0.59639,0.050892
0.59972,0.051948
0.60305,0.052244
0.60639,0.051735
0.60972,0.050526
0.61305,0.048831
0.61638,0.047027
0.61971,0.045477
0.62304,0.044533
0.62638,0.04442
0.62971,0.045156
0.63304,0.046692
0.63637,0.04877
0.6397,0.051098
0.64304,0.05339
0.64637,0.055382
0.6497,0.056965
0.65303,0.058064
0.65636,0.058751
0.65969,0.059127
0.66303,0.059286
0.66636,0.059304
0.66969,0.059199
0.67302,0.058923
0.67635,0.058425
0.67968,0.057662
0.68302,0.056639
0.68635,0.055462
0.68968,0.054328
0.69301,0.053503
0.69634,0.053278
0.69968,0.053837
0.70301,0.05537
0.70634,0.057816
0.70967,0.060923
0.713,0.064369
0.71633,0.067663
0.71967,0.070342
0.723,0.072016
0.72633,0.072419
0.72966,0.071615
0.73299,0.069688
0.73633,0.067078
0.73966,0.064233
0.74299,0.061588
0.74632,0.059551
0.74965,0.058235
0.75298,0.057688
0.75632,0.057667
0.75965,0.057822
0.76298,0.057744
0.76631,0.057056
0.76964,0.055565
0.77297,0.053159
0.77631,0.050013
0.77964,0.046458
0.78297,0.042897
0.7863,0.039798
0.78963,0.037472
0.79297,0.036206
0.7963,0.036015
0.79963,0.036707
0.80296,0.038032
0.80629,0.039555
0.80962,0.040908
0.81296,0.041748
0.81629,0.041856
0.81962,0.04123
0.82295,0.039928
0.82628,0.038207
0.82962,0.036383
0.83295,0.034756
0.83628,0.033655
0.83961,0.033205
0.84294,0.033542
0.84627,0.034615
0.84961,0.036242
0.85294,0.038226
0.85627,0.040239
0.8596,0.04202
0.86293,0.043284
0.86627,0.043828
0.8696,0.043612
0.87293,0.042618
0.87626,0.041017
0.87959,0.039109
0.88292,0.037226
0.88626,0.035786
0.88959,0.035113
0.89292,0.035522
0.89625,0.037136
0.89958,0.039791
0.90291,0.043283
0.90625,0.04709
0.90958,0.050637
0.91291,0.053326
0.91624,0.054588
0.91957,0.054241
0.92291,0.052159
0.92624,0.048646
0.92957,0.044343
0.9329,0.039958
0.93623,0.036398
0.93956,0.034298
0.9429,0.034242
0.94623,0.03638
0.94956,0.040334
0.95289,0.045592
0.95622,0.051182
0.95956,0.056173
0.96289,0.059639
0.96622,0.060868
0.96955,0.059819
0.97288,0.056534
0.97621,0.051678
0.97955,0.046204
0.98288,0.04108
0.98621,0.037332
0.98954,0.035471
0.99287,0.035891
0.9962,0.038445
0.99954,0.042473
1.0029,0.047255
1.0062,0.051827
1.0095,0.055432
1.0129,0.057465
1.0162,0.05766
1.0195,0.056289
1.0229,0.053706
1.0262,0.050576
1.0295,0.047577
1.0329,0.045261
1.0362,0.043993
1.0395,0.043754
1.0428,0.044379
1.0462,0.045469
1.0495,0.046525
1.0528,0.047139
1.0562,0.047017
1.0595,0.046157
1.0628,0.04464
1.0662,0.042814
1.0695,0.041029
1.0728,0.039619
1.0762,0.038819
1.0795,0.038609
1.0828,0.03887
1.0862,0.03931
1.0895,0.039606
1.0928,0.039455
1.0962,0.038681
1.0995,0.037333
1.1028,0.035563
1.1062,0.033708
1.1095,0.032103
1.1128,0.031072
1.1161,0.030818
1.1195,0.031273
1.1228,0.032266
1.1261,0.033412
1.1295,0.03428
1.1328,0.034475
1.1361,0.033671
1.1395,0.031849
1.1428,0.029101
1.1461,0.025732
1.1495,0.022213
1.1528,0.01897
1.1561,0.016422
1.1595,0.014743
1.1628,0.013965
1.1661,0.013997
1.1695,0.014512
1.1728,0.015207
1.1761,0.015779
1.1795,0.016104
1.1828,0.016165
1.1861,0.016094
1.1894,0.01613
1.1928,0.016514
1.1961,0.017425
1.1994,0.018884
1.2028,0.020776
1.2061,0.022812
1.2094,0.024599
1.2128,0.025789
1.2161,0.026025
1.2194,0.025282
1.2228,0.023624
1.2261,0.021339
1.2294,0.018936
1.2328,0.016892
1.2361,0.015737
1.2394,0.015652
1.2428,0.016711
1.2461,0.018744
1.2494,0.021266
1.2528,0.023771
1.2561,0.025662
1.2594,0.026609
1.2627,0.026386
1.2661,0.02503
1.2694,0.022966
1.2727,0.020621
1.2761,0.018635
1.2794,0.017444
1.2827,0.017398
1.2861,0.018601
1.2894,0.02075
1.2927,0.023471
1.2961,0.026158
1.2994,0.028268
1.3027,0.029359
1.3061,0.029102
1.3094,0.027631
1.3127,0.025152
1.3161,0.022103
1.3194,0.019014
1.3227,0.016345
1.3261,0.014468
1.3294,0.013491
1.3327,0.013378
1.336,0.013923
1.3394,0.014832
1.3427,0.015814
1.346,0.016725
1.3494,0.017514
1.3527,0.018327
1.356,0.019421
1.3594,0.021072
1.3627,0.023487
1.366,0.026806
1.3694,0.030844
1.3727,0.035316
1.376,0.039719
1.3794,0.043508
1.3827,0.046203
1.386,0.047319
1.3894,0.046899
1.3927,0.045037
1.396,0.042094
1.3994,0.038737
1.4027,0.035553
1.406,0.033209
1.4093,0.032
1.4127,0.032092
1.416,0.033435
1.4193,0.035537
1.4227,0.037961
1.426,0.040092
1.4293,0.041542
1.4327,0.042033
1.436,0.041456
1.4393,0.040117
1.4427,0.038341
1.446,0.036596
1.4493,0.035309
1.4527,0.034765
1.456,0.035134
1.4593,0.036219
1.4627,0.037768
1.466,0.03936
1.4693,0.040579
1.4727,0.04111
1.476,0.040705
1.4793,0.0395
1.4826,0.037688
1.486,0.035666
1.4893,0.033907
1.4926,0.032816
1.496,0.032816
1.4993,0.03395
1.5026,0.036194
1.506,0.039378
1.5093,0.043012
1.5126,0.046703
1.516,0.049938
1.5193,0.052399
1.5226,0.05383
1.526,0.054017
1.5293,0.053107
1.5326,0.051205
1.536,0.048478
1.5393,0.045271
1.5426,0.04181
1.5459,0.038388
1.5493,0.035247
1.5526,0.0326
1.5559,0.030719
