x,y,z,U,V,W,urms,vrms,wrms,uv,uw,vw
0.3,0.56163,-0.6,1.7035,-0.0042153,-0.0072902,1.0655,0.72996,0.77968,0.55237,0.013044,0.026494
0.3,0.69098,-0.6,1.821,-0.0038893,-0.0080262,0.9227,0.63749,0.6771,0.36317,0.016814,0.00083355
0.3,0.82635,-0.6,1.9129,-0.0023952,-0.0041308,0.75946,0.57188,0.57735,0.2001,0.012243,0.02997
0.3,0.9651,-0.6,1.9592,-0.00078111,-0.00097603,0.64567,0.50491,0.51274,0.044688,-0.013719,0.003789
0.3,1.1045,-0.6,1.947,0.00047615,-0.0016264,0.69394,0.53549,0.53345,-0.13818,0.0025673,0.023015
0.3,1.2419,-0.6,1.8716,0.0033368,-0.0039799,0.85574,0.6007,0.60903,-0.31005,0.019049,0.042228
0.3,1.3746,-0.6,1.7714,0.0081277,-0.0067485,0.96101,0.68703,0.7098,-0.4529,0.010145,-0.036239
0.3,1.5,-0.6,1.6448,0.0017798,-0.0057538,1.1508,0.73892,0.82316,-0.63779,-0.025639,-0.025682
0.3,1.6157,-0.6,1.5105,0.0041952,-0.012009,1.3136,0.80314,0.94194,-0.75687,0.13404,0.02495
0.3,1.7193,-0.6,1.3786,-0.0011747,-0.00011696,1.4378,0.84963,1.0186,-0.85698,0.11407,-0.0038197
0.3,1.809,-0.6,1.1976,-0.0054056,0.0029504,1.5436,0.89409,1.0855,-1.0692,0.10522,-0.07469
0.3,1.8829,-0.6,0.95373,-0.032419,-0.010711,1.5574,0.88153,1.161,-0.96189,0.17563,0.061457
0.3,1.9397,-0.6,0.35776,-0.042823,0.031355,1.54,0.83082,0.96774,-1.1798,0.46275,-0.011443
0.3,1.9781,-0.6,-0.0013318,0.00029297,0.00052586,0.11931,0.089137,0.081888,-0.0052335,0.0027769,0.0011987
0.3,1.9976,-0.6,-0.00082413,1.3968e-05,0.00031857,0.069471,0.0043198,0.04203,-0.00018233,0.00086801,3.5916e-05
0.4,0,-0.6,2.5502e-15,4.3517e-18,1.2075e-17,2.1405e-13,7.943e-16,1.0417e-14,5.5475e-30,-9.9942e-29,-6.239e-31
0.4,0.0097319,-0.6,-0.00039439,2.5314e-05,-0.00023813,0.089762,0.032561,0.057117,-0.0010645,-0.00098124,0.00070843
