x,y,c,U,V,urms,vrms,uv
0.7,0.4408071,0,1.575581,-0.004159255,1.265794,0.7898411,-0.7479379
0.7,0.5616289,0,1.7063,-0.004592241,1.091023,0.7519621,-0.5911563
0.7,0.690983,0,1.823218,0.001360406,0.9412076,0.6338861,-0.3943416
0.7,0.8263518,0,1.911661,-0.0008865382,0.772173,0.5507675,-0.2413977
0.7,0.9651005,0,1.957792,-0.0002928837,0.6848189,0.5162278,-0.05538007
0.7,1.104528,0,1.94539,0.0006203607,0.7031111,0.5282707,0.1128302
0.7,1.241922,0,1.877324,0.0002177589,0.8365446,0.574063,0.2876578
0.7,1.374607,0,1.771098,0.0007435421,1.013259,0.706067,0.5143671
0.7,1.5,0,1.647196,0.003637866,1.157482,0.762225,0.6192259
0.7,1.615661,0,1.518385,0.004001089,1.333371,0.7879206,0.7282019
0.7,1.71934,0,1.383555,0.01246039,1.442267,0.8776694,0.9206262
0.7,1.809017,0,1.201234,0.01685763,1.547914,0.8912281,1.018189
0.7,1.882948,0,0.9552635,0.04626599,1.463782,0.9147782,0.9149566
0.7,1.939693,0,0.1389085,-0.00501986,1.750862,0.4546019,0.3614708
0.7,1.978148,0,0.0001383605,0.0001692759,0.0453087,0.03390113,0.0003352057
0.7,1.997564,0,9.046788e-05,1.047107e-05,0.03199983,0.002114671,1.648886e-05
0.8,0,0,2.498717e-15,-1.277998e-18,2.141506e-13,7.961403e-16,-4.828417e-30
0.8,0.009731931,0,-0.0003158065,5.308448e-07,0.05022426,0.01603598,-0.0002047789
0.8,0.0387383,0,-0.01276913,0.004002487,0.3921045,0.1829634,0.006871
0.8,0.08645454,0,0.5215607,0.02548787,2.023107,0.8248298,-0.9039415
0.8,0.1519519,0,1.07908,0.00198908,1.541206,0.9043853,-1.005721
0.8,0.2339556,0,1.287083,-0.0009379216,1.511385,0.8600707,-0.9432598
0.8,0.3308694,0,1.449336,-0.001332883,1.364568,0.8705554,-0.8749595
0.8,0.4408071,0,1.571309,-0.006968686,1.276878,0.773541,-0.7511423
0.8,0.5616289,0,1.702982,-0.005367406,1.095102,0.735266,-0.6374201
0.8,0.690983,0,1.817009,-0.004785315,0.9629195,0.6458101,-0.3711706
0.8,0.8263518,0,1.914515,-0.0002221715,0.7694207,0.5360726,-0.2054137
0.8,0.9651005,0,1.956672,-0.0004061304,0.6641983,0.5228485,-0.05472093
0.8,1.104528,0,1.944269,0.000585437,0.7070183,0.5107553,0.1269677
0.8,1.241922,0,1.876135,0.001317471,0.8640923,0.5798587,0.2613507
0.8,1.374607,0,1.770023,0.007852559,1.003627,0.6745043,0.4661959
0.8,1.5,0,1.64533,0.003150954,1.164869,0.7419873,0.6243406
0.8,1.615661,0,1.520435,0.007390805,1.327595,0.8311279,0.8168458
0.8,1.71934,0,1.385034,0.001367995,1.440331,0.8517186,0.8603542
0.8,1.809017,0,1.202795,0.002142014,1.551159,0.8794759,1.020702
0.8,1.882948,0,0.9489009,-0.009539889,1.59925,0.8405059,0.9810589
0.8,1.939693,0,0.0667834,0.00711851,1.983024,0.5731874,0.4772391
0.8,1.978148,0,-0.0004222073,8.821466e-05,0.0601688,0.05272281,0.000948227
0.8,1.997564,0,-0.0002490264,3.248591e-06,0.03999384,0.002964788,3.051458e-05
0.9,0,0,2.559131e-15,-6.112804e-18,2.141955e-13,7.738557e-16,6.808013e-30
0.9,0.009731931,0,0.0006081169,0.0001154884,0.05616579,0.02197304,-1.986855e-05
0.9,0.0387383,0,0.001624227,-0.0002554911,0.2923094,0.2393837,-0.03970287
0.9,0.08645454,0,0.6124734,-0.009042786,1.63569,0.8987914,-1.36136
0.9,0.1519519,0,1.079484,0.00136794,1.509559,0.9145706,-1.059686
0.9,0.2339556,0,1.289595,0.002899114,1.5359,0.909426,-1.113688
0.9,0.3308694,0,1.452213,-0.00359018,1.351731,0.80748,-0.7883296
0.9,0.4408071,0,1.576494,-0.005407167,1.251686,0.791039,-0.7363038
0.9,0.5616289,0,1.696164,-0.007052591,1.113934,0.7190031,-0.6071956
0.9,0.690983,0,1.814919,-0.00693615,0.989531,0.6608598,-0.4783809
0.9,0.8263518,0,1.915211,-0.003281146,0.7832456,0.5819613,-0.2253203
0.9,0.9651005,0,1.957325,-0.001242785,0.6652136,0.5391922,-0.02196063
0.9,1.104528,0,1.948138,0.001228279,0.6867027,0.537788,0.1051908
0.9,1.241922,0,1.872439,0.004591324,0.8773368,0.6063428,0.3137712
0.9,1.374607,0,1.763655,0.009683493,1.032886,0.6934806,0.5696691
0.9,1.5,0,1.63857,0.005732266,1.190158,0.7502508,0.6567434
0.9,1.615661,0,1.523218,0.003491712,1.293317,0.791928,0.7712058
0.9,1.71934,0,1.383158,0.002823445,1.429477,0.8393781,0.9041528
0.9,1.809017,0,1.204009,-0.00793495,1.529313,0.9279192,1.132642
0.9,1.882948,0,0.9241215,-0.00346976,1.670145,0.8879905,1.224575
0.9,1.939693,0,0.3389456,0.0340924,1.122359,0.7339915,0.724526
0.9,1.978148,0,0.000777886,-0.0003590486,0.06582319,0.07543403,0.0005085294
0.9,1.997564,0,0.0004590887,-2.720163e-05,0.04455906,0.004055383,-1.718162e-06
1,0,0,2.633451e-15,6.424075e-18,2.144454e-13,7.723982e-16,-8.829647e-30
1,0.009731931,0,-0.0003561373,-0.0001316889,0.05032716,0.01616416,-0.0001498637
1,0.0387383,0,-0.001411538,-0.0009054885,0.2527218,0.1265223,-0.01151696
1,0.08645454,0,0.6789068,0.015603,1.695386,0.7812657,-1.063647
1,0.1519519,0,1.076365,0.007696642,1.545689,0.8876722,-1.070363
1,0.2339556,0,1.279565,0.001425392,1.525485,0.8933168,-1.023187
1,0.3308694,0,1.44749,-0.003357639,1.368988,0.7999089,-0.8072594
1,0.4408071,0,1.570814,-0.006506757,1.283334,0.7584548,-0.6785089
