x,dist
1.2092,0.098479
1.2125,0.097973
1.2158,0.097698
1.2192,0.097539
1.2225,0.097406
1.2258,0.097203
1.2291,0.096876
1.2325,0.09638
1.2358,0.095712
1.2391,0.094926
1.2425,0.094072
1.2458,0.093245
1.2491,0.092506
1.2525,0.091931
1.2558,0.091605
1.2591,0.091518
1.2625,0.091675
1.2658,0.092064
1.2691,0.092599
1.2724,0.093207
1.2758,0.09378
1.2791,0.094227
1.2824,0.094482
1.2858,0.094469
1.2891,0.094208
1.2924,0.093739
1.2958,0.093133
1.2991,0.092536
1.3024,0.092085
1.3058,0.091952
1.3091,0.092239
1.3124,0.092998
1.3158,0.094278
1.3191,0.095953
1.3224,0.09789
1.3257,0.099896
1.3291,0.10174
1.3324,0.10322
1.3357,0.10414
1.3391,0.10444
1.3424,0.10417
1.3457,0.10334
1.3491,0.10222
1.3524,0.10099
1.3557,0.099932
1.3591,0.099235
1.3624,0.099014
1.3657,0.099384
1.369,0.10023
1.3724,0.10142
1.3757,0.10276
1.379,0.10396
1.3824,0.10483
1.3857,0.10508
1.389,0.10465
1.3924,0.1035
1.3957,0.10161
1.399,0.099151
1.4024,0.096315
1.4057,0.093297
1.409,0.090346
1.4124,0.087664
1.4157,0.085468
1.419,0.083871
1.4223,0.082926
1.4257,0.082708
1.429,0.083122
1.4323,0.084052
1.4357,0.085393
1.439,0.086895
1.4423,0.088372
1.4457,0.089581
1.449,0.090345
1.4523,0.090552
1.4557,0.090073
1.459,0.088989
1.4623,0.087416
1.4656,0.085512
1.469,0.083566
1.4723,0.081809
1.4756,0.080558
1.479,0.079965
1.4823,0.080116
1.4856,0.081104
1.489,0.082798
1.4923,0.085026
1.4956,0.087625
1.499,0.090326
1.5023,0.092956
1.5056,0.095326
1.5089,0.097345
1.5123,0.098973
1.5156,0.10015
1.5189,0.10091
1.5223,0.10127
1.5256,0.10117
1.5289,0.10063
1.5323,0.099638
1.5356,0.098136
1.5389,0.096203
1.5423,0.093947
1.5456,0.091518
1.5489,0.08917
1.5523,0.087145
1.5556,0.08575
1.5589,0.085173
1.5622,0.0855
1.5656,0.086799
1.5689,0.088881
1.5722,0.091475
1.5756,0.094286
1.5789,0.096929
1.5822,0.099114
1.5856,0.10056
1.5889,0.10117
1.5922,0.101
1.5956,0.10013
1.5989,0.098771
1.6022,0.097169
1.6055,0.095493
1.6089,0.093893
1.6122,0.092396
1.6155,0.090998
1.6189,0.089605
1.6222,0.088155
1.6255,0.086561
1.6289,0.084885
1.6322,0.083216
1.6355,0.081705
1.6389,0.080586
1.6422,0.079991
1.6455,0.08008
1.6489,0.080834
1.6522,0.082117
1.6555,0.083733
1.6588,0.085341
1.6622,0.086652
1.6655,0.087373
1.6688,0.087393
1.6722,0.086767
1.6755,0.085616
1.6788,0.084305
1.6822,0.0832
1.6855,0.08269
1.6888,0.083087
1.6922,0.084454
1.6955,0.086821
1.6988,0.089938
1.7021,0.093419
1.7055,0.096857
1.7088,0.099828
1.7121,0.10208
1.7155,0.10341
1.7188,0.10386
1.7221,0.10363
1.7255,0.10299
1.7288,0.10227
1.7321,0.10172
1.7355,0.1015
1.7388,0.10162
1.7421,0.10194
1.7455,0.10223
1.7488,0.10219
1.7521,0.10162
1.7554,0.10032
1.7588,0.09833
1.7621,0.09585
1.7654,0.093136
1.7688,0.090617
1.7721,0.088635
1.7754,0.087547
1.7788,0.087542
1.7821,0.08856
1.7854,0.090501
1.7888,0.093058
1.7921,0.095857
1.7954,0.09855
1.7987,0.10082
1.8021,0.10254
1.8054,0.10362
1.8087,0.10416
1.8121,0.10437
1.8154,0.1044
1.8187,0.10446
1.8221,0.10464
1.8254,0.10496
1.8287,0.10534
1.8321,0.10563
1.8354,0.10568
1.8387,0.10533
1.8421,0.10457
1.8454,0.10341
1.8487,0.10199
1.852,0.10055
1.8554,0.099301
1.8587,0.098501
1.862,0.09825
1.8654,0.098639
1.8687,0.099584
1.872,0.10089
1.8754,0.10233
1.8787,0.10361
1.882,0.10452
1.8854,0.10487
1.8887,0.10459
1.892,0.10377
1.8953,0.10251
1.8987,0.10103
1.902,0.099589
1.9053,0.09837
1.9087,0.097573
1.912,0.097246
1.9153,0.097419
1.9187,0.098033
1.922,0.098927
1.9253,0.09997
1.9287,0.10099
1.932,0.10183
1.9353,0.10239
1.9387,0.10254
1.942,0.10229
1.9453,0.10159
1.9486,0.10047
1.952,0.099014
1.9553,0.097292
1.9586,0.09543
1.962,0.093586
1.9653,0.09192
1.9686,0.090636
1.972,0.089847
1.9753,0.089689
1.9786,0.090259
1.982,0.091489
1.9853,0.093332
1.9886,0.095624
1.9919,0.098136
1.9953,0.10064
1.9986,0.10287
2.0019,0.10464
2.0053,0.10579
2.0086,0.10616
2.0119,0.10585
2.0153,0.10482
2.0186,0.10316
2.0219,0.10103
2.0253,0.098561
2.0286,0.095894
2.0319,0.093186
2.0353,0.090559
2.0386,0.088183
2.0419,0.086164
2.0452,0.084627
2.0486,0.083731
