x,y,U,V,W,urms,vrms,wrms,uv,uw,vw
0,0.33282,1.4891,1.3511e-19,-3.3094e-05,0.12918,0.078634,0.093093,-0.0045354,-4.8515e-05,5.8304e-07
0,0.33869,1.4932,-1.273e-19,-3.2134e-05,0.12857,0.078352,0.092636,-0.0044963,-4.1719e-05,3.9965e-07
0,0.3446,1.4973,4.6237e-20,-3.3611e-05,0.12796,0.078067,0.092182,-0.0044569,-3.7909e-05,1.8224e-07
0,0.35055,1.5014,6.908e-20,-3.8059e-05,0.12734,0.077778,0.091728,-0.0044172,-3.8173e-05,-4.1674e-08
0,0.35654,1.5055,-4.205e-20,-4.5617e-05,0.12673,0.077485,0.091276,-0.0043772,-4.3049e-05,-2.4765e-07
0,0.36258,1.5095,-4.1192e-20,-5.6016e-05,0.12612,0.077188,0.090824,-0.0043369,-5.2501e-05,-4.2526e-07
0,0.36865,1.5135,-4.315e-20,-6.8238e-05,0.1255,0.076887,0.090371,-0.0042963,-6.5279e-05,-5.5419e-07
0,0.37476,1.5175,-1.2498e-20,-8.0751e-05,0.12489,0.076581,0.089917,-0.0042553,-7.9186e-05,-6.2378e-07
0,0.38091,1.5214,7.3048e-20,-9.2194e-05,0.12428,0.07627,0.089459,-0.004214,-9.2164e-05,-6.3825e-07
0,0.38709,1.5253,1.9498e-19,-0.00010169,0.12367,0.075954,0.088996,-0.0041724,-0.00010277,-6.1932e-07
0,0.39332,1.5292,-2.4515e-20,-0.00010852,0.12307,0.075634,0.088526,-0.0041305,-0.0001098,-5.8711e-07
0,0.39958,1.5331,-2.0193e-20,-0.00011206,0.12246,0.07531,0.088048,-0.0040883,-0.00011221,-5.5595e-07
0,0.40588,1.537,-1.1384e-20,-0.00011238,0.12185,0.074983,0.087562,-0.004046,-0.00010994,-5.4172e-07
0,0.41221,1.5408,8.5983e-21,-0.00011019,0.12124,0.074653,0.087067,-0.0040033,-0.000104,-5.5288e-07
0,0.41859,1.5446,-4.638e-21,-0.00010638,0.12063,0.07432,0.086565,-0.0039604,-9.5661e-05,-5.9357e-07
0,0.42499,1.5483,-8.8784e-20,-0.00010186,0.12002,0.073986,0.086056,-0.0039173,-8.6331e-05,-6.5003e-07
0,0.43144,1.5521,-5.6333e-20,-9.7509e-05,0.1194,0.073649,0.085541,-0.0038739,-7.7587e-05,-7.0537e-07
0,0.43792,1.5558,-4.5145e-20,-9.4135e-05,0.11877,0.073311,0.085024,-0.0038302,-7.0851e-05,-7.6286e-07
0,0.44443,1.5595,-1.5632e-19,-9.2199e-05,0.11815,0.072972,0.084503,-0.0037863,-6.6949e-05,-8.3457e-07
0,0.45098,1.5631,1.1443e-19,-9.1926e-05,0.11751,0.072631,0.083981,-0.0037421,-6.6281e-05,-9.3325e-07
0,0.45756,1.5668,-7.6557e-20,-9.3503e-05,0.11687,0.072288,0.083457,-0.0036976,-6.9101e-05,-1.066e-06
0,0.46417,1.5704,2.2616e-19,-9.7212e-05,0.11622,0.071945,0.082932,-0.0036529,-7.5663e-05,-1.226e-06
0,0.47082,1.5739,1.7751e-19,-0.00010319,0.11556,0.071599,0.082408,-0.0036079,-8.5974e-05,-1.3887e-06
0,0.4775,1.5775,-1.2503e-19,-0.00011134,0.1149,0.071251,0.081884,-0.0035626,-9.9813e-05,-1.5395e-06
0,0.48421,1.581,-5.4737e-20,-0.0001215,0.11423,0.0709,0.081362,-0.0035171,-0.000117,-1.6869e-06
0,0.49096,1.5845,-2.1082e-22,-0.00013342,0.11356,0.070545,0.080843,-0.0034714,-0.00013716,-1.8346e-06
0,0.49773,1.588,1.2769e-20,-0.00014616,0.11289,0.070188,0.080327,-0.0034255,-0.00015888,-1.9623e-06
0,0.50454,1.5914,-7.4238e-20,-0.00015847,0.11221,0.069827,0.079813,-0.0033794,-0.00018012,-2.0698e-06
0,0.51138,1.5948,5.9804e-20,-0.00016962,0.11153,0.069464,0.079302,-0.003333,-0.00019961,-2.1793e-06
0,0.51825,1.5982,-2.2271e-20,-0.00017951,0.11085,0.069098,0.078794,-0.0032864,-0.0002171,-2.298e-06
0,0.52514,1.6016,6.9668e-20,-0.00018815,0.11016,0.068732,0.078286,-0.0032396,-0.0002326,-2.4129e-06
0,0.53207,1.6049,-2.9906e-20,-0.0001953,0.10946,0.068364,0.077781,-0.0031925,-0.00024572,-2.5097e-06
0,0.53903,1.6082,-8.2716e-20,-0.00020044,0.10876,0.067997,0.077275,-0.0031451,-0.00025568,-2.5826e-06
0,0.54601,1.6115,3.6795e-20,-0.0002032,0.10804,0.067632,0.076769,-0.0030976,-0.00026184,-2.6431e-06
0,0.55302,1.6147,1.1681e-19,-0.00020344,0.10732,0.067268,0.07626,-0.0030498,-0.00026381,-2.699e-06
0,0.56006,1.6179,-1.1301e-19,-0.00020107,0.10659,0.066906,0.07575,-0.0030018,-0.00026135,-2.7546e-06
0,0.56713,1.6211,-5.5227e-20,-0.00019583,0.10585,0.066546,0.075236,-0.0029537,-0.00025388,-2.8073e-06
0,0.57422,1.6243,-7.0473e-21,-0.00018717,0.10511,0.066188,0.07472,-0.0029053,-0.00024039,-2.8504e-06
0,0.58134,1.6274,-1.7367e-19,-0.00017513,0.10436,0.065831,0.074203,-0.0028568,-0.00022081,-2.8909e-06
0,0.58849,1.6305,-8.2497e-20,-0.00016097,0.10362,0.065475,0.073686,-0.002808,-0.0001971,-2.951e-06
0,0.59566,1.6336,1.3822e-19,-0.00014646,0.10287,0.065121,0.073168,-0.0027591,-0.00017218,-3.0415e-06
0,0.60285,1.6366,1.0842e-19,-0.00013311,0.10212,0.064767,0.072649,-0.0027101,-0.00014868,-3.1633e-06
0,0.61007,1.6396,1.2024e-20,-0.00012183,0.10138,0.064414,0.072129,-0.0026609,-0.00012836,-3.2962e-06
0,0.61732,1.6426,3.0331e-20,-0.00011266,0.10063,0.064064,0.071605,-0.0026116,-0.00011161,-3.4e-06
0,0.62458,1.6455,-1.0829e-19,-0.00010481,0.099879,0.063715,0.071077,-0.0025621,-9.7517e-05,-3.4509e-06
0,0.63188,1.6483,6.0685e-20,-9.6975e-05,0.099127,0.063369,0.070546,-0.0025125,-8.416e-05,-3.4594e-06
0,0.63919,1.6512,4.5213e-20,-8.79e-05,0.098373,0.063027,0.070014,-0.0024627,-6.966e-05,-3.4544e-06
0,0.64653,1.654,4.5175e-22,-7.7121e-05,0.097619,0.062687,0.069483,-0.0024127,-5.326e-05,-3.4484e-06
0,0.65388,1.6567,-2.319e-21,-6.4731e-05,0.096863,0.06235,0.068956,-0.0023626,-3.502e-05,-3.426e-06
0,0.66126,1.6594,9.7744e-20,-5.0888e-05,0.096106,0.062017,0.068432,-0.0023123,-1.4993e-05,-3.3819e-06
0,0.66866,1.6621,-7.1934e-20,-3.5714e-05,0.095347,0.061687,0.067911,-0.0022618,6.8683e-06,-3.3338e-06
0,0.67608,1.6647,1.0978e-20,-1.9518e-05,0.094584,0.061361,0.067394,-0.0022111,3.0221e-05,-3.3033e-06
0,0.68352,1.6673,9.6479e-20,-3.0247e-06,0.093815,0.061038,0.066881,-0.0021602,5.3938e-05,-3.2978e-06
0,0.69098,1.6698,7.8349e-20,1.2549e-05,0.09304,0.060719,0.066371,-0.0021092,7.6038e-05,-3.3224e-06
0,0.69846,1.6723,-6.3847e-21,2.5458e-05,0.092258,0.060405,0.065864,-0.002058,9.3728e-05,-3.3896e-06
0,0.70596,1.6748,1.6564e-21,3.3793e-05,0.091468,0.060094,0.06536,-0.0020066,0.00010398,-3.4987e-06
0,0.71348,1.6772,1.4433e-20,3.6045e-05,0.090672,0.059789,0.064859,-0.0019551,0.00010432,-3.627e-06
0,0.72101,1.6796,3.3753e-20,3.1366e-05,0.089868,0.059488,0.06436,-0.0019035,9.323e-05,-3.7494e-06
0,0.72856,1.682,-1.6805e-20,1.9553e-05,0.08906,0.059193,0.063863,-0.0018518,7.0176e-05,-3.8557e-06
0,0.73613,1.6843,-1.039e-20,7.6819e-07,0.088246,0.058903,0.063365,-0.0017999,3.523e-05,-3.9567e-06
0,0.74371,1.6866,-9.0734e-20,-2.4722e-05,0.087428,0.058618,0.062867,-0.001748,-1.1309e-05,-4.0607e-06
0,0.75131,1.6888,-2.7707e-20,-5.6863e-05,0.086606,0.058338,0.062371,-0.001696,-6.9363e-05,-4.1612e-06
