x,y,U,V,urms,vrms,uv
0,0.27583,1.3589,-0.0050038,0.24049,0.14152,-0.014957
0,0.28066,1.3668,-0.0050609,0.23967,0.14131,-0.014862
0,0.28553,1.3745,-0.0051139,0.23883,0.14108,-0.014773
0,0.29043,1.3822,-0.0051615,0.23791,0.14087,-0.014684
0,0.29537,1.3899,-0.0052222,0.23692,0.14064,-0.014602
0,0.30034,1.3975,-0.0052827,0.23589,0.14037,-0.014525
0,0.30534,1.4049,-0.0053414,0.23489,0.14006,-0.014449
0,0.31038,1.4123,-0.0053841,0.23394,0.13972,-0.014363
0,0.31545,1.4196,-0.005418,0.23305,0.13937,-0.014273
0,0.32056,1.4268,-0.0054285,0.23222,0.13902,-0.01418
0,0.3257,1.4339,-0.0054291,0.23145,0.13868,-0.014089
0,0.33087,1.4409,-0.0054254,0.23067,0.13835,-0.013991
0,0.33607,1.4479,-0.0054393,0.22988,0.13804,-0.01389
0,0.34131,1.455,-0.0054639,0.22904,0.13775,-0.013783
0,0.34658,1.462,-0.0054938,0.22819,0.13746,-0.013677
0,0.35188,1.469,-0.0055121,0.22732,0.13715,-0.013567
0,0.35721,1.4759,-0.0055147,0.22647,0.13681,-0.013457
0,0.36258,1.4828,-0.0054897,0.22558,0.13646,-0.013346
0,0.36797,1.4896,-0.0054448,0.22469,0.13608,-0.013245
0,0.3734,1.4964,-0.00538,0.22379,0.1357,-0.013148
0,0.37885,1.503,-0.0053068,0.2229,0.13532,-0.013056
0,0.38434,1.5097,-0.0052274,0.22193,0.13497,-0.012961
0,0.38985,1.5162,-0.0051486,0.22092,0.1346,-0.012864
0,0.3954,1.5229,-0.0050624,0.2198,0.13422,-0.012759
0,0.40098,1.5294,-0.004968,0.21865,0.13382,-0.012652
0,0.40658,1.536,-0.0048599,0.21748,0.1334,-0.01254
0,0.41221,1.5425,-0.0047531,0.21635,0.13298,-0.01243
0,0.41788,1.5491,-0.0046489,0.21528,0.13257,-0.012316
0,0.42357,1.5556,-0.004554,0.21427,0.13216,-0.012201
0,0.42929,1.5621,-0.0044616,0.2132,0.13176,-0.012082
0,0.43503,1.5686,-0.0043748,0.21209,0.13137,-0.011966
0,0.44081,1.5752,-0.0042938,0.21093,0.13099,-0.011851
0,0.44661,1.5817,-0.004233,0.2098,0.13063,-0.011741
0,0.45244,1.5883,-0.0041879,0.20865,0.13027,-0.011632
0,0.45829,1.5948,-0.0041555,0.20752,0.12991,-0.01153
0,0.46417,1.6012,-0.0041207,0.20629,0.12954,-0.011432
0,0.47008,1.6076,-0.0040801,0.20498,0.12915,-0.011333
0,0.47601,1.614,-0.0040268,0.2036,0.12874,-0.011224
0,0.48197,1.6203,-0.0039602,0.20221,0.12828,-0.011107
0,0.48796,1.6267,-0.0038712,0.2008,0.12778,-0.01098
0,0.49397,1.6331,-0.0037719,0.19943,0.12725,-0.010851
0,0.5,1.6395,-0.0036751,0.19808,0.1267,-0.010716
0,0.50606,1.6458,-0.0035988,0.19681,0.12614,-0.010583
0,0.51214,1.6522,-0.003537,0.19553,0.12558,-0.010448
0,0.51825,1.6584,-0.003497,0.19426,0.12501,-0.010315
0,0.52438,1.6647,-0.0034851,0.19298,0.12445,-0.010182
0,0.53053,1.6709,-0.003506,0.19172,0.12389,-0.010054
0,0.5367,1.6771,-0.0035466,0.19048,0.12333,-0.009932
0,0.5429,1.6832,-0.0035915,0.18929,0.12279,-0.0098139
0,0.54912,1.6894,-0.003625,0.1881,0.12224,-0.0096934
0,0.55536,1.6955,-0.0036407,0.1869,0.12167,-0.009573
0,0.56163,1.7017,-0.0036326,0.18567,0.12106,-0.0094504
0,0.56791,1.7078,-0.0036011,0.18447,0.12042,-0.0093292
0,0.57422,1.7139,-0.0035565,0.18325,0.11976,-0.0092046
0,0.58055,1.7199,-0.0035121,0.182,0.11909,-0.0090771
0,0.5869,1.726,-0.0034703,0.18075,0.11844,-0.0089478
0,0.59326,1.732,-0.0034265,0.17952,0.11778,-0.0088225
0,0.59965,1.738,-0.0033773,0.17822,0.11714,-0.0086977
0,0.60606,1.7439,-0.0033218,0.17687,0.1165,-0.0085726
0,0.61248,1.7499,-0.0032621,0.17548,0.11588,-0.0084424
0,0.61893,1.7557,-0.0031937,0.17409,0.11526,-0.0083082
0,0.62539,1.7616,-0.0031206,0.17271,0.11465,-0.008169
0,0.63188,1.7674,-0.0030374,0.17136,0.11402,-0.0080276
0,0.63838,1.7733,-0.0029422,0.17,0.11337,-0.007886
0,0.64489,1.779,-0.0028399,0.16869,0.11269,-0.0077507
0,0.65143,1.7848,-0.0027416,0.16741,0.11201,-0.0076191
0,0.65798,1.7904,-0.0026477,0.16617,0.11133,-0.0074848
0,0.66455,1.796,-0.0025594,0.16494,0.11066,-0.0073468
0,0.67113,1.8015,-0.0024779,0.16368,0.11001,-0.007208
0,0.67773,1.8071,-0.0024003,0.16237,0.10937,-0.0070697
0,0.68435,1.8124,-0.002321,0.16105,0.10873,-0.0069338
0,0.69098,1.8179,-0.0022465,0.15973,0.10809,-0.0067985
0,0.69763,1.8232,-0.0021762,0.15839,0.10745,-0.0066598
0,0.70429,1.8287,-0.0021132,0.15702,0.1068,-0.0065146
0,0.71097,1.8339,-0.002054,0.15562,0.10613,-0.0063678
0,0.71766,1.8393,-0.0019996,0.15419,0.10546,-0.006223
0,0.72436,1.8445,-0.0019501,0.15273,0.10475,-0.0060811
0,0.73108,1.8497,-0.0019078,0.15124,0.10403,-0.0059394
