x,y,U,V,urms,vrms,uv
0.5,0.82635,1.9152,0.0021557,0.76276,0.56784,-0.22235
0.5,0.9651,1.956,-0.00096081,0.70987,0.52322,-0.076236
0.5,1.1045,1.9483,-0.0021509,0.70521,0.54922,0.15783
0.5,1.2419,1.8735,0.0021848,0.84109,0.59722,0.27655
0.5,1.3746,1.77,-0.00096624,1.008,0.68851,0.50399
0.5,1.5,1.6456,-0.0021888,1.1443,0.75109,0.676
0.5,1.6157,1.5087,-0.0040046,1.3119,0.80777,0.87249
0.5,1.7193,1.3743,-0.0033375,1.415,0.82292,0.87405
0.5,1.809,1.1959,-0.0052223,1.5558,0.8867,1.0959
0.5,1.8829,0.9117,-0.023205,1.6659,0.90983,1.3759
0.5,1.9397,0.44762,-0.10511,1.4875,0.92818,0.22391
0.5,1.9781,-0.00024334,-0.00085687,0.080056,0.14874,0.0030014
0.5,1.9976,-5.692e-05,-3.4976e-05,0.052982,0.0065752,4.4874e-05
0.6,0,2.5842e-15,5.1077e-19,2.1403e-13,8.0174e-16,-3.0838e-31
0.6,0.0097319,0.0005895,0.00011608,0.05297,0.014287,-0.00019516
0.6,0.038738,0.0014955,0.00049396,0.2313,0.10189,-0.0010134
0.6,0.086455,0.71622,-0.015326,1.5879,0.80208,-0.70921
0.6,0.15195,1.0573,-0.021498,1.5819,0.92387,-1.0226
0.6,0.23396,1.2845,-0.0085756,1.5067,0.86537,-1.0131
0.6,0.33087,1.4475,-0.0014126,1.3574,0.82184,-0.82746
0.6,0.44081,1.5775,-0.0011121,1.236,0.76217,-0.70049
0.6,0.56163,1.6998,-0.0046542,1.0759,0.72757,-0.5635
0.6,0.69098,1.8237,0.001745,0.91585,0.6513,-0.38905
0.6,0.82635,1.9133,0.0010441,0.79081,0.5487,-0.2227
0.6,0.9651,1.9536,8.4957e-05,0.70247,0.51635,-0.069813
0.6,1.1045,1.944,-0.00011267,0.70164,0.53211,0.13591
0.6,1.2419,1.8749,0.0012296,0.83877,0.5818,0.29082
0.6,1.3746,1.7705,-0.0020494,1.018,0.70335,0.5115
0.6,1.5,1.649,-0.0038842,1.139,0.73382,0.59651
0.6,1.6157,1.5116,-0.0018211,1.317,0.78729,0.76555
0.6,1.7193,1.3819,-0.0064022,1.4459,0.86934,0.95539
0.6,1.809,1.1993,-0.012518,1.5296,0.85704,0.93646
0.6,1.8829,0.92222,-0.019123,1.6111,0.90266,1.097
0.6,1.9397,0.29077,0.0033325,1.32,0.52724,0.4966
0.6,1.9781,0.00085092,0.00029239,0.06642,0.043348,0.00071319
0.6,1.9976,0.00045029,2.3079e-05,0.041787,0.0026725,2.8791e-05
0.7,0,2.5373e-15,-1.2584e-18,2.1427e-13,7.8982e-16,7.6089e-30
0.7,0.0097319,0.0001053,-4.7212e-05,0.039832,0.011266,-0.00011269
0.7,0.038738,0.0002143,-0.00039773,0.21977,0.079085,-0.001305
0.7,0.086455,0.61239,-0.05681,1.9572,0.69012,-1.0099
0.7,0.15195,1.0725,-0.027274,1.5467,0.91352,-1.1373
0.7,0.23396,1.2896,-0.015897,1.5472,0.86945,-1.0869
0.7,0.33087,1.4501,-0.006153,1.3769,0.83441,-0.84414
0.7,0.44081,1.5756,-0.0041593,1.2658,0.78984,-0.74794
0.7,0.56163,1.7063,-0.0045922,1.091,0.75196,-0.59116
0.7,0.69098,1.8232,0.0013604,0.94121,0.63389,-0.39434
0.7,0.82635,1.9117,-0.00088654,0.77217,0.55077,-0.2414
0.7,0.9651,1.9578,-0.00029288,0.68482,0.51623,-0.05538
0.7,1.1045,1.9454,-0.00062036,0.70311,0.52827,0.11283
0.7,1.2419,1.8773,-0.00021776,0.83654,0.57406,0.28766
0.7,1.3746,1.7711,-0.00074354,1.0133,0.70607,0.51437
0.7,1.5,1.6472,-0.0036379,1.1575,0.76222,0.61923
0.7,1.6157,1.5184,-0.0040011,1.3334,0.78792,0.7282
0.7,1.7193,1.3836,-0.01246,1.4423,0.87767,0.92063
0.7,1.809,1.2012,-0.016858,1.5479,0.89123,1.0182
0.7,1.8829,0.95526,-0.046266,1.4638,0.91478,0.91496
0.7,1.9397,0.13891,0.0050199,1.7509,0.4546,0.36147
0.7,1.9781,0.00013836,-0.00016928,0.045309,0.033901,0.00033521
0.7,1.9976,9.0468e-05,-1.0471e-05,0.032,0.0021147,1.6489e-05
0.8,0,2.4987e-15,-1.278e-18,2.1415e-13,7.9614e-16,-4.8284e-30
0.8,0.0097319,-0.00031581,5.3084e-07,0.050224,0.016036,-0.00020478
0.8,0.038738,-0.012769,0.0040025,0.3921,0.18296,0.006871
0.8,0.086455,0.52156,0.025488,2.0231,0.82483,-0.90394
0.8,0.15195,1.0791,0.0019891,1.5412,0.90439,-1.0057
0.8,0.23396,1.2871,-0.00093792,1.5114,0.86007,-0.94326
0.8,0.33087,1.4493,-0.0013329,1.3646,0.87056,-0.87496
0.8,0.44081,1.5713,-0.0069687,1.2769,0.77354,-0.75114
0.8,0.56163,1.703,-0.0053674,1.0951,0.73527,-0.63742
0.8,0.69098,1.817,-0.0047853,0.96292,0.64581,-0.37117
0.8,0.82635,1.9145,-0.00022217,0.76942,0.53607,-0.20541
0.8,0.9651,1.9567,-0.00040613,0.6642,0.52285,-0.054721
0.8,1.1045,1.9443,-0.00058544,0.70702,0.51076,0.12697
0.8,1.2419,1.8761,-0.0013175,0.86409,0.57986,0.26135
0.8,1.3746,1.77,-0.0078526,1.0036,0.6745,0.4662
0.8,1.5,1.6453,-0.003151,1.1649,0.74199,0.62434
0.8,1.6157,1.5204,-0.0073908,1.3276,0.83113,0.81685
0.8,1.7193,1.385,-0.001368,1.4403,0.85172,0.86035
0.8,1.809,1.2028,-0.002142,1.5512,0.87948,1.0207
0.8,1.8829,0.9489,0.0095399,1.5992,0.84051,0.98106
0.8,1.9397,0.066783,-0.0071185,1.983,0.57319,0.47724
0.8,1.9781,-0.00042221,-8.8215e-05,0.060169,0.052723,0.00094823
0.8,1.9976,-0.00024903,-3.2486e-06,0.039994,0.0029648,3.0515e-05
0.9,0,2.5591e-15,-6.1128e-18,2.142e-13,7.7386e-16,6.808e-30
0.9,0.0097319,0.00060812,0.00011549,0.056166,0.021973,-1.9869e-05
0.9,0.038738,0.0016242,-0.00025549,0.29231,0.23938,-0.039703
0.9,0.086455,0.61247,-0.0090428,1.6357,0.89879,-1.3614
0.9,0.15195,1.0795,0.0013679,1.5096,0.91457,-1.0597
0.9,0.23396,1.2896,0.0028991,1.5359,0.90943,-1.1137
0.9,0.33087,1.4522,-0.0035902,1.3517,0.80748,-0.78833
0.9,0.44081,1.5765,-0.0054072,1.2517,0.79104,-0.7363
0.9,0.56163,1.6962,-0.0070526,1.1139,0.719,-0.6072
0.9,0.69098,1.8149,-0.0069361,0.98953,0.66086,-0.47838
0.9,0.82635,1.9152,-0.0032811,0.78325,0.58196,-0.22532
0.9,0.9651,1.9573,-0.0012428,0.66521,0.53919,-0.021961
0.9,1.1045,1.9481,-0.0012283,0.6867,0.53779,0.10519
0.9,1.2419,1.8724,-0.0045913,0.87734,0.60634,0.31377
0.9,1.3746,1.7637,-0.0096835,1.0329,0.69348,0.56967
0.9,1.5,1.6386,-0.0057323,1.1902,0.75025,0.65674
0.9,1.6157,1.5232,-0.0034917,1.2933,0.79193,0.77121
0.9,1.7193,1.3832,-0.0028234,1.4295,0.83938,0.90415
0.9,1.809,1.204,0.0079349,1.5293,0.92792,1.1326
0.9,1.8829,0.92412,0.0034698,1.6701,0.88799,1.2246
0.9,1.9397,0.33895,-0.034092,1.1224,0.73399,0.72453
0.9,1.9781,0.00077789,0.00035905,0.065823,0.075434,0.00050853
0.9,1.9976,0.00045909,2.7202e-05,0.044559,0.0040554,-1.7182e-06
1,0,2.6335e-15,6.4241e-18,2.1445e-13,7.724e-16,-8.8296e-30
1,0.0097319,-0.00035614,-0.00013169,0.050327,0.016164,-0.00014986
1,0.038738,-0.0014115,-0.00090549,0.25272,0.12652,-0.011517
1,0.086455,0.67891,0.015603,1.6954,0.78127,-1.0636
1,0.15195,1.0764,0.0076966,1.5457,0.88767,-1.0704
1,0.23396,1.2796,0.0014254,1.5255,0.89332,-1.0232
1,0.33087,1.4475,-0.0033576,1.369,0.79991,-0.80726
1,0.44081,1.5708,-0.0065068,1.2833,0.75845,-0.67851
1,0.56163,1.6925,-0.00731,1.1373,0.73643,-0.64034
1,0.69098,1.8138,-0.0073953,0.96062,0.68136,-0.50646
1,0.82635,1.9144,-0.0021356,0.80012,0.57514,-0.27108
1,0.9651,1.9594,-0.0013637,0.66016,0.55288,-0.045573
1,1.1045,1.9476,-0.0031008,0.71374,0.56077,0.12692
1,1.2419,1.8717,-0.003159,0.86044,0.61613,0.32798
1,1.3746,1.7597,-0.01053,1.0653,0.73287,0.61321
1,1.5,1.6371,-0.005479,1.2031,0.73536,0.64904
1,1.6157,1.5139,-0.0065202,1.3348,0.78942,0.75905
1,1.7193,1.378,-0.00028641,1.4529,0.8264,0.88382
1,1.809,1.197,0.0042005,1.5401,0.8951,1.0403
1,1.8829,0.93948,0.0093882,1.57,0.88765,1.0376
1,1.9397,0.17465,-0.0082111,1.7275,0.61201,0.80036
1,1.9781,-0.00049984,-0.00041143,0.056948,0.051179,0.0009921
1,1.9976,-0.00026827,-2.8144e-05,0.04018,0.0030088,1.9268e-05
1.1,0,2.6622e-15,1.5144e-19,2.1455e-13,8.2439e-16,4.788e-30
1.1,0.0097319,-0.0001524,-9.9282e-05,0.060352,0.021162,-0.00018774
1.1,0.038738,0.0098107,0.0020165,0.43841,0.23997,-0.094602
1.1,0.086455,0.7204,0.040011,1.5393,0.87296,-1.1514
1.1,0.15195,1.0754,0.014801,1.564,0.87831,-1.0067
1.1,0.23396,1.2779,0.00040879,1.5096,0.88343,-1.0348
1.1,0.33087,1.4391,-0.0086862,1.4235,0.81531,-0.82639
1.1,0.44081,1.5702,-0.0058826,1.2896,0.76864,-0.65459
1.1,0.56163,1.6924,-0.0028198,1.157,0.72578,-0.59295
1.1,0.69098,1.8108,-0.0051079,0.97585,0.65927,-0.43786
1.1,0.82635,1.9132,-0.0052951,0.79033,0.59256,-0.29643
1.1,0.9651,1.9582,-0.0019929,0.65739,0.54541,-0.054308
1.1,1.1045,1.9459,-0.0038114,0.7171,0.54536,0.17164
1.1,1.2419,1.8716,-0.005276,0.86779,0.61733,0.35356
1.1,1.3746,1.7611,-0.0018191,1.0548,0.67432,0.51868
1.1,1.5,1.6389,-0.0051271,1.2181,0.75376,0.64134
1.1,1.6157,1.511,-0.0073079,1.338,0.78545,0.74946
1.1,1.7193,1.3662,-0.0044333,1.4567,0.86088,0.94897
1.1,1.809,1.1913,0.0049694,1.5242,0.88979,1.0077
1.1,1.8829,0.94244,0.025659,1.5684,0.89123,0.98767
1.1,1.9397,0.42129,0.041806,1.4785,0.71759,1.1485
1.1,1.9781,-0.00015691,-0.00025524,0.078644,0.066752,0.00044463
1.1,1.9976,-0.00010743,-1.9284e-05,0.047542,0.0039425,2.9427e-05
1.2,0,2.6187e-15,8.6888e-18,2.1433e-13,7.7663e-16,-3.9104e-30
1.2,0.0097319,-0.00019218,-0.00015742,0.083488,0.057503,4.0722e-05
1.2,0.038738,0.21091,0.019217,1.4489,0.54636,-0.6842
1.2,0.086455,0.72453,0.02475,1.5536,0.87153,-1.219
1.2,0.15195,1.0709,0.015949,1.552,0.88352,-1.029
1.2,0.23396,1.2702,0.00060197,1.4741,0.85591,-0.94283
1.2,0.33087,1.4361,-0.0080375,1.3694,0.84978,-0.80549
1.2,0.44081,1.5676,-0.0083633,1.2983,0.77227,-0.71358
1.2,0.56163,1.6994,-0.010093,1.1165,0.7206,-0.55189
1.2,0.69098,1.8136,-0.0015598,0.98411,0.63239,-0.46165
1.2,0.82635,1.9086,-0.0015891,0.8152,0.56573,-0.27355
1.2,0.9651,1.961,-0.0018665,0.66241,0.55021,-0.044906
1.2,1.1045,1.9455,-0.0035429,0.70379,0.53355,0.16557
1.2,1.2419,1.8707,6.7922e-05,0.89418,0.60919,0.34151
1.2,1.3746,1.7627,-0.0046233,1.0558,0.66872,0.50397
1.2,1.5,1.6403,-0.010391,1.2272,0.76668,0.67116
1.2,1.6157,1.511,-0.0059602,1.3261,0.80866,0.80444
1.2,1.7193,1.3583,-0.0086882,1.403,0.85937,0.87671
1.2,1.809,1.1865,0.0076438,1.4897,0.86985,0.92561
1.2,1.8829,0.9477,0.023923,1.5557,0.89616,1.0094
1.2,1.9397,0.50745,0.02784,1.638,0.80354,1.2428
1.2,1.9781,-0.001301,-0.0039618,0.42926,0.24389,0.0612
1.2,1.9976,-0.00015528,-2.4637e-05,0.062794,0.010281,-1.1667e-05
1.3,0,2.6081e-15,1.954e-19,2.1387e-13,7.7158e-16,-9.209e-30
1.3,0.0097319,-4.583e-05,0.00033039,0.10172,0.043518,-0.0019609
1.3,0.038738,0.23158,0.022102,1.7171,0.56109,-0.89566
1.3,0.086455,0.74796,0.018773,1.532,0.8883,-1.0742
1.3,0.15195,1.06,-0.0011468,1.5597,0.86922,-1.0838
1.3,0.23396,1.2693,-0.0026389,1.5062,0.86782,-0.95431
1.3,0.33087,1.432,-0.010284,1.4116,0.85629,-0.92471
1.3,0.44081,1.5707,-0.012274,1.2678,0.79846,-0.72918
1.3,0.56163,1.702,-0.0093145,1.164,0.73668,-0.61127
1.3,0.69098,1.8184,-0.00021609,0.97668,0.65301,-0.45465
1.3,0.82635,1.9121,-0.00039905,0.80663,0.56848,-0.27459
1.3,0.9651,1.9626,-0.00078023,0.65995,0.50396,-0.051704
1.3,1.1045,1.9455,0.00052864,0.70729,0.53111,0.13005
1.3,1.2419,1.8733,-0.0012879,0.88546,0.61266,0.38533
1.3,1.3746,1.7654,-0.004573,1.0534,0.70004,0.51052
1.3,1.5,1.6456,-0.010951,1.1951,0.74718,0.63372
1.3,1.6157,1.5145,-0.014151,1.3334,0.85989,0.91772
1.3,1.7193,1.3642,-0.0063474,1.4315,0.83724,0.90354
1.3,1.809,1.1828,-0.00068512,1.5471,0.89306,0.97521
1.3,1.8829,0.93713,0.0050508,1.5929,0.89003,1.1182
1.3,1.9397,0.56546,0.02952,1.8595,0.7924,1.301
1.3,1.9781,0.00041129,0.0014274,0.22271,0.1668,0.037032
1.3,1.9976,1.9287e-05,5.7088e-05,0.077665,0.0078435,0.00031054
1.4,0,2.5038e-15,3.8755e-18,2.1376e-13,7.8343e-16,5.7156e-30
1.4,0.0097319,0.00022311,-9.608e-05,0.085514,0.020659,0.00020405
1.4,0.038738,0.0016508,-0.0051395,0.36643,0.22872,0.015145
1.4,0.086455,0.78056,-0.015921,1.491,0.82843,-0.88296
1.4,0.15195,1.0585,-0.016967,1.5647,0.87532,-1.1546
1.4,0.23396,1.271,-0.015587,1.4894,0.89613,-1.0745
1.4,0.33087,1.4373,-0.0089976,1.3589,0.85897,-0.87739
1.4,0.44081,1.5771,-0.0053588,1.242,0.81065,-0.74781
1.4,0.56163,1.7047,-0.0043159,1.1282,0.71035,-0.59521
1.4,0.69098,1.8201,0.00047147,0.97561,0.6535,-0.3778
1.4,0.82635,1.9152,5.4504e-05,0.78358,0.58467,-0.25328
1.4,0.9651,1.9595,0.0025245,0.6658,0.48969,-0.040864
1.4,1.1045,1.943,0.0030968,0.70982,0.52231,0.11908
1.4,1.2419,1.8761,0.0013915,0.87503,0.60631,0.32737
1.4,1.3746,1.7686,-0.003114,1.0409,0.67613,0.4437
1.4,1.5,1.6461,-0.0055042,1.1889,0.77235,0.64814
1.4,1.6157,1.5187,-0.0064514,1.2776,0.81125,0.73314
1.4,1.7193,1.3668,-0.011535,1.4611,0.85806,1.0142
1.4,1.809,1.1855,-0.016261,1.5031,0.90602,1.1131
1.4,1.8829,0.94434,-0.019286,1.5671,0.90466,1.2266
1.4,1.9397,0.61916,-0.02913,2.1023,0.67218,0.056486
1.4,1.9781,0.0002108,-0.00010027,0.11387,0.066176,-0.003283
1.4,1.9976,0.00017189,-1.3111e-05,0.067246,0.0038822,-2.8291e-05
1.5,0,2.6383e-15,1.7918e-18,2.1363e-13,8.1448e-16,7.7523e-30
1.5,0.0097319,-0.00012061,7.4227e-05,0.061026,0.0257,0.00047528
1.5,0.038738,0.00093959,0.014045,0.55651,0.36901,-0.10461
1.5,0.086455,0.81109,-0.029013,1.4985,0.86821,-0.82644
1.5,0.15195,1.0716,-0.022908,1.4914,0.88322,-1.0612
1.5,0.23396,1.2696,-0.020991,1.5131,0.85872,-1.0206
